raw_ingredient,canonical_name,frequency
styrax benzoin resin extract,styrax benzoin resin extract,29
actinidia chinensis (kiwi) fruit extract,actinidia chinensis (kiwi) fruit extract,29
beta vulgaris (beet) root extract,beta vulgaris (beet) root extract,29
ethyl hexyl glycerin,ethyl hexyl glycerin,29
zingiber officinale (ginger) root oil,zingiber officinale (ginger) root oil,29
iron oxides ci 77492,iron oxides (ci 77492),29
polyglyceryl-10 myristate,polyglyceryl-10 myristate,29
peg-30 dipolyhydroxystearate,peg-30 dipolyhydroxystearate,29
oleanolic acid,oleanolic acid,29
trimethylsiloxyamodimethicone,trimethylsiloxyamodimethicone,29
iron oxides (ci 77499,iron oxides (ci 77499),29
sodium cocoyl glycinate,sodium cocoyl glycinate,29
manganese violet ci 77742,manganese violet (ci 77742),29
calcium stearate,calcium stearate,29
ci 15985 (yellow 6,ci 15985 (yellow 6),29
yellow 6 lake),ci 15985 (yellow 6),29
red 27 lake,red 27 lake,29
caesalpinia spinosa gum,caesalpinia spinosa gum,29
ext. d&c violet no. 2 (ci 60730),ci 60730 (ext violet 2),28
honey/mel/miel,honey/mel/miel,28
octyldodecyl citrate crosspolymer,octyldodecyl citrate crosspolymer,28
ceteareth-25,ceteareth-25,28
fd&c yellow no. 5 (ci 19140),ci 19140 (yellow 5),28
salvia officinalis (sage) oil,salvia officinalis (sage) oil,28
ethylhexyl,ethylhexyl,28
acacia decurrens flower wax,acacia decurrens flower wax,28
ci 77000 (aluminum powder),ci 77000 (aluminum powder),28
rehmannia glutinosa root extract,rehmannia glutinosa root extract,28
arachidic acid,arachidic acid,28
castor oil/ipdi copolymer,castor oil/ipdi copolymer,28
tourmaline,tourmaline,28
sodium methyl oleoyl taurate,sodium methyl oleoyl taurate,28
sodium potassium aluminum silicate,sodium potassium aluminum silicate,28
dipeptide diaminobutyroyl benzylamide diacetate,dipeptide diaminobutyroyl benzylamide diacetate,28
pearl powder,pearl powder,28
euphorbia cerifera (candelilla) wax/candelilla cera/cire de candelilla,euphorbia cerifera (candelilla) wax/candelilla cera/cire de candelilla,28
ci 77491),iron oxides (ci 77491),28
ethylhexyl olivate,ethylhexyl olivate,28
magnesium silicate,magnesium silicate,28
yellow 5 lake ci 19140,ci 19140 (yellow 5),28
c12-16 alcohols,c12-16 alcohols,28
paeonia albiflora root extract,paeonia albiflora root extract,28
achillea millefolium extract,achillea millefolium extract,28
olea europaea (olive) oil*,olea europaea (olive) oil,27
prunus persica (peach) fruit extract,prunus persica (peach) fruit extract,27
malpighia punicifolia (acerola) fruit extract,malpighia punicifolia (acerola) fruit extract,27
lycium chinense fruit extract,lycium chinense fruit extract,27
fragrance/parfum*,parfum (fragrance),27
arnica montana (arnica) extract*,arnica montana (arnica) extract,27
boswellia serrata extract,boswellia serrata extract,27
butyrospermum parkii butter / shea butter,shea butter,27
benzoguanamine,benzoguanamine,27
zinc acetylmethionate,zinc acetylmethionate,27
organic sugar cane alcohol denat,alcohol denat,27
saccharomyces/camellia sinensis leaf/cladosiphon okamuranus/rice ferment filtrate*,camellia sinensis leaf extract,27
ribes nigrum (black currant) fruit extract,ribes nigrum (black currant) fruit extract,27
serenoa serrulata fruit extract,serenoa serrulata fruit extract,27
tin oxide (ci 77861),tin oxide (ci 77861),27
n-butyl alcohol,n-butyl alcohol,27
hydroxypropyltrimonium hydrolyzed corn starch,hydroxypropyltrimonium hydrolyzed corn starch,27
helianthus annuus (sunflower) seed oil*,helianthus annuus seed oil,27
sodium laureth-12 sulfate,sodium laureth-12 sulfate,27
polysilicone-2,polysilicone-2,27
hydrogenated palm oil,hydrogenated palm oil,27
ci 77491 / iron oxides,iron oxides (ci 77491),27
neopentyl glycol dicaprylate/dicaprate,neopentyl glycol dicaprylate/dicaprate,27
urtica dioica (nettle) extract,urtica dioica (nettle) extract,27
glycine soja (soybean) extract,glycine soja (soybean) extract,27
camellia oleifera leaf extract,camellia oleifera leaf extract,27
rosa centifolia flower extract,rosa centifolia flower extract,27
purified water,water,26
aloe barbadensis leaf water,aloe barbadensis,26
theobroma grandiflorum (cupuacu) seed butter,theobroma grandiflorum (cupuacu) seed butter,26
chenopodium quinoa seed extract,chenopodium quinoa seed extract,26
peg-8 beeswax,peg-8 beeswax,26
polyglyceryl-10 dioleate,polyglyceryl-10 dioleate,26
caprylic acid,caprylic acid,26
sd-alcohol 40-b (alcohol denat.),alcohol denat,26
titanium dioxide/ci 77891,titanium dioxide (ci 77891),26
punica granatum fruit extract,punica granatum fruit extract,26
hedera helix (ivy) extract,hedera helix (ivy) extract,26
capryloyl salicylic acid,salicylic acid,26
caprylyl caprylate/caprate,caprylyl caprylate/caprate,26
sanguisorba officinalis root extract,sanguisorba officinalis root extract,26
water(aqua/eau),water,26
angelica keiskei leaf/stem extract,angelica keiskei leaf/stem extract,26
citrus aurantium dulcis (orange) peel oil*,citrus aurantium dulcis (orange) peel oil,26
mangifera indica (mango) fruit extract,mangifera indica (mango) fruit extract,26
undeceth-5,undeceth-5,26
peg-20 methyl glucose sesquistearate,peg-20 methyl glucose sesquistearate,26
caprylic/capric glycerides,caprylic/capric glycerides,26
polyglyceryl-2 stearate,polyglyceryl-2 stearate,26
polyglyceryl-3 caprate,polyglyceryl-3 caprate,26
tranexamic acid,tranexamic acid,26
lactic acid/glycolic acid copolymer,lactic acid/glycolic acid copolymer,26
acetyl dipeptide-1 cetyl ester,acetyl dipeptide-1 cetyl ester,26
undeceth-11,undeceth-11,26
ammonium acrylates copolymer,ammonium acrylates copolymer,26
maltooligosyl glucoside,maltooligosyl glucoside,26
hydroxypropylgluconamide,hydroxypropylgluconamide,26
calcium silicate,calcium silicate,26
larix europaea wood extract,larix europaea wood extract,26
magnesium oxide,magnesium oxide,26
ci 77510 (ferric ferrocyanide),ferric ferrocyanide (ci 77510),26
acrylates/dimethicone copolymer,dimethicone,26
hydroxypropylammonium gluconate,hydroxypropylammonium gluconate,26
peg-6,peg-6,25
triisostearin,triisostearin,25
hydrolyzed adansonia digitata seed extract,hydrolyzed adansonia digitata seed extract,25
portulaca pilosa extract,portulaca pilosa extract,25
aroma (flavor),aroma (flavor),25
gellan gum,gellan gum,25
saccharomyces ferment,saccharomyces ferment,25
nylon-6,nylon-6,25
oryzanol,oryzanol,25
calcium pantothenate,calcium pantothenate,25
cocos nucifera oil/coconut oil,cocos nucifera oil,25
sugarcane alcohol denat,alcohol denat,25
red 30 (ci 73360),red 30 (ci 73360),25
sucrose palmitate,sucrose palmitate,25
moringa oleifera leaf extract,moringa oleifera leaf extract,25
peg-200 hydrogenated glyceryl palmate,peg-200 hydrogenated glyceryl palmate,25
hydroxystearic acid,hydroxystearic acid,25
equisetum arvense (horsetail) extract,equisetum arvense (horsetail) extract,25
laureth-12,laureth-12,25
panthenyl ethyl ether,panthenyl ethyl ether,25
camellia sinensis seed oil,camellia sinensis leaf extract,25
rosa damascena extract,rosa damascena extract,25
pentaerythrityl tetra-di-t-butyl,pentaerythrityl tetra-di-t-butyl,25
ethylhexyl polyhydroxystearate,ethylhexyl polyhydroxystearate,25
sodium polystyrene sulfonate,sodium polystyrene sulfonate,25
centella asiatica leaf extract,centella asiatica leaf extract,25
hydrogenated coconut oil,cocos nucifera oil,25
ci 77891,titanium dioxide (ci 77891),24
pogostemon cablin oil,pogostemon cablin oil,24
rose extract,rose extract,24
ci 42090/blue 1,ci 42090 (blue 1),24
peg-32,peg-32,24
carthamus tinctorius (safflower) oleosomes,carthamus tinctorius (safflower) oleosomes,24
rosa canina seed oil,rosa canina fruit oil,24
olea europaea fruit oil / olive fruit oil,olea europaea fruit oil/olive fruit oil,24
fragaria vesca (strawberry) fruit extract,fragaria vesca (strawberry) fruit extract,24
ophiopogon japonicus root extract,ophiopogon japonicus root extract,24
aroma/flavor,aroma/flavor,24
ci 77491/ci 77492/ci 77499 (iron oxides),iron oxides (ci 77491),24
caryodendron orinocense seed oil,caryodendron orinocense seed oil,24
rice oil glycereth-8 esters,rice oil glycereth-8 esters,24
salvia sclarea (clary) extract,salvia sclarea (clary) extract,24
butyrospermum parkii (shea) butter*,shea butter,24
glyoxal,glyoxal,24
ppg-15 stearyl ether,ppg-15 stearyl ether,24
sodium polyacryloyldimethyl taurate,sodium polyacryloyldimethyl taurate,24
tricaprylin,tricaprylin,24
eucalyptus globulus leaf extract,eucalyptus globulus leaf extract,24
polydextrose,polydextrose,24
poloxamer 407,poloxamer 407,24
alcohol denat. (sd alcohol 40-b),alcohol denat,24
cocamidopropyl dimethylamine,cocamidopropyl dimethylamine,24
polyglyceryl-6 caprylate,polyglyceryl-6 caprylate,24
copernicia cerifera (carnauba) wax/copernicia cerifera cera/cire de carnauba,copernicia cerifera (carnauba) wax/copernicia cerifera cera/cire de carnauba,24
malachite extract,malachite extract,24
hydroxyethylpiperazine ethane sulfonic acid,hydroxyethylpiperazine ethane sulfonic acid,24
polypropylene,polypropylene,24
yellow 5/yellow 5 lake (ci 19140),ci 19140 (yellow 5),24
ci 15985 (yellow 6 lake),ci 15985 (yellow 6),24
soluble collagen,hydrolyzed collagen,24
rhododendron ferrugineum extract,rhododendron ferrugineum extract,23
capryloyl glycine,capryloyl glycine,23
neopentyl glycol diethylhexanoate,neopentyl glycol diethylhexanoate,23
ci 15985/yellow 6,ci 15985 (yellow 6),23
avena sativa (oat) kernel flour,avena sativa (oat) kernel flour,23
octyldodecyl myristate,octyldodecyl myristate,23
hexyldecanol,hexyldecanol,23
polyglyceryl-3 laurate,polyglyceryl-3 laurate,23
ethylhexyl hydroxystearate,ethylhexyl hydroxystearate,23
ethylcellulose,ethylcellulose,23
ppg-3 dipivalate,ppg-3 dipivalate,23
ocimum basilicum (basil) leaf extract,ocimum basilicum (basil) leaf extract,23
peg-75 stearate,peg-75 stearate,23
ceramide ns,ceramide ns,23
citrus junos seed extract,citrus junos seed extract,23
spiraea ulmaria (meadowsweet) extract*,spiraea ulmaria (meadowsweet) extract,23
aroma**,aroma,23
triethylene glycol,triethylene glycol,23
spinacia oleracea (spinach) leaf extract,spinacia oleracea (spinach) leaf extract,23
peg/ppg-17/4 dimethyl ether,peg/ppg-17/4 dimethyl ether,23
alpha keratin,alpha keratin,23
sodium surfactin,sodium surfactin,23
trifolium pratense (clover) extract,trifolium pratense (clover) extract,23
blue 1 lake),ci 42090 (blue 1),23
potassium cocoyl glycinate,potassium cocoyl glycinate,23
lonicera caprifolium (honeysuckle) flower extract,lonicera caprifolium (honeysuckle) flower extract,23
tetramethyl acetyloctahydronaphthalenes,tetramethyl acetyloctahydronaphthalenes,23
althaea officinalis (marshmallow) root extract,althaea officinalis (marshmallow) root extract,23
benzyl acetate,benzyl acetate,23
helianthus annuus seed oil,helianthus annuus seed oil,23
butyrospermum parkii butter (butyrospermum parkii (shea butter)),shea butter,23
alteromonas ferment extract,alteromonas ferment extract,23
stearalkonium chloride,stearalkonium chloride,23
butyloctanol,butyloctanol,23
hydrolyzed corn protein,hydrolyzed corn protein,23
shea butter,shea butter,23
hydrolyzed pea protein,hydrolyzed pea protein,23
hydroxyhydrocinnamate,hydroxyhydrocinnamate,23
hydrolyzed glycosaminoglycans,hydrolyzed glycosaminoglycans,23
helianthus annuus (sunflower) seed oil unsaponifiables,helianthus annuus seed oil,23
hydrogenated vegetable glycerides,hydrogenated vegetable glycerides,23
o-cymen-5-ol,o-cymen-5-ol,23
commiphora mukul resin extract,commiphora mukul resin extract,23
hydrogenated styrene/methylstyrene/indene copolymer,hydrogenated styrene/methylstyrene/indene copolymer,23
benzotriazolyl dodecyl p-cresol,benzotriazolyl dodecyl p-cresol,23
ci 17200 / red 33,ci 17200 (red 33),23
alcaligenes polysaccharides,alcaligenes polysaccharides,22
persea gratissima (avocado) oil*,persea gratissima oil,22
cannabis sativa (hemp) seed oil,cannabis sativa (hemp) seed oil,22
mentha piperita (peppermint) oil*,mentha piperita (peppermint) oil,22
brassicyl isoleucinate esylate,brassicyl isoleucinate esylate,22
silybum marianum (lady thistle) extract,silybum marianum (lady thistle) extract,22
oleyl alcohol,oleyl alcohol,22
gelidiella acerosa extract,gelidiella acerosa extract,22
geranyl acetate,geranyl acetate,22
camellia sinensis (white tea) leaf extract,camellia sinensis leaf extract,22
sodium carboxymethyl beta-glucan,sodium carboxymethyl beta-glucan,22
escin,escin,22
sugar cane alcohol denat,alcohol denat,22
polysilicone-29,polysilicone-29,22
arctium lappa root extract,arctium lappa root extract,22
bacillus ferment,bacillus ferment,22
punica granatum sterols,punica granatum sterols,22
glass,glass,22
agastache mexicana flower/leaf/stem extract,agastache mexicana flower/leaf/stem extract,22
phosphatidylcholine,phosphatidylcholine,22
chlorhexidine dihydrochloride,chlorhexidine dihydrochloride,22
glass beads,glass beads,22
glycyrrhiza uralensis (licorice) root extract,glycyrrhiza uralensis (licorice) root extract,22
red 21 (ci 45380),red 21 (ci 45380),22
microcrystalline wax\\cera microcristallina\\cire microcristalline,microcrystalline wax/cera microcristallina/cire microcristalline,22
pyridoxine hcl,pyridoxine hcl,22
ppg-2 myristyl ether propionate,ppg-2 myristyl ether propionate,22
red 27 lake (ci 45410),ci 45410 (red 28),22
bambusa vulgaris (bamboo) extract,bambusa vulgaris (bamboo) extract,22
parachlorella beijerinckii exopolysaccharides,parachlorella beijerinckii exopolysaccharides,22
ectoin,ectoin,22
pseudoalteromonas ferment extract,pseudoalteromonas ferment extract,22
collagen amino acids,hydrolyzed collagen,22
medicago sativa (alfalfa) extract,medicago sativa (alfalfa) extract,22
thymus vulgaris (thyme) leaf extract,thymus vulgaris (thyme) leaf extract,22
oleth-20,oleth-20,22
silicone quaternium-16,silicone quaternium-16,22
epilobium angustifolium flower/leaf/stem extract,epilobium angustifolium flower/leaf/stem extract,22
amp-acrylates/allyl methacrylate copolymer,amp-acrylates/allyl methacrylate copolymer,22
coffea arabica (coffee) seed oil,coffea arabica (coffee) seed oil,22
triisodecyl trimellitate,triisodecyl trimellitate,22
magnesium aspartate,magnesium aspartate,22
myristoyl pentapeptide-17,myristoyl pentapeptide-17,22
diphenyl dimethicone/vinyl diphenyl dimethicone/silsesquioxane crosspolymer,dimethicone,22
amber extract,amber extract,22
spilanthes acmella flower extract,spilanthes acmella flower extract,22
ethyl oleate,ethyl oleate,22
oligopeptide-177,oligopeptide-177,22
hydrogenated styrene/methyl styrene/indene copolymer,hydrogenated styrene/methyl styrene/indene copolymer,22
helianthus annuus seed oil/sunflower seed oil,helianthus annuus seed oil,22
salvia sclarea (clary) oil,salvia sclarea (clary) oil,22
dimethicone silylate,dimethicone,21
coconut oil,cocos nucifera oil,21
bixa orellana seed extract,bixa orellana seed extract,21
micrococcus lysate,micrococcus lysate,21
simmondsia chinensis (jojoba) seed oil*,jojoba oil,21
amyris balsamifera bark oil,amyris balsamifera bark oil,21
acetamide mea,acetamide mea,21
sodium anisate,sodium anisate,21
brassica campestris/aleurites fordi oil copolymer,brassica campestris/aleurites fordi oil copolymer,21
carapa guaianensis (andiroba) seed oil,carapa guaianensis (andiroba) seed oil,21
red 21 lake,red 21 lake,21
aloe barbadensis extract,aloe barbadensis,21
saccharomyces/xylinum/black tea ferment,saccharomyces/xylinum/black tea ferment,21
red 36 lake),red 36 lake),21
ci 45380 (red 21,ci 45380 (red 21,21
red 22 lake),red 22 lake),21
zinc sulfate,zinc sulfate,21
jasminum officinale (jasmine) flower/leaf extract,jasminum officinale (jasmine) flower/leaf extract,21
prunus insititia seed oil,prunus insititia seed oil,21
quercus petraea fruit extract,quercus petraea fruit extract,21
olea europaea (olive) oil unsaponifiables,olea europaea (olive) oil unsaponifiables,21
cichorium intybus (chicory) root extract,cichorium intybus (chicory) root extract,21
diphenyl dimethicone,dimethicone,21
orbignya oleifera (babassu) seed oil,orbignya oleifera (babassu) seed oil,21
dibutyl lauroyl glutamide,dibutyl lauroyl glutamide,21
sodium carbonate,sodium carbonate,21
cucurbita pepo (pumpkin) seed oil,cucurbita pepo (pumpkin) seed oil,21
passiflora incarnata extract,passiflora incarnata extract,21
hydroxyphenyl propamidobenzoic acid,hydroxyphenyl propamidobenzoic acid,21
polyglyceryl-3 stearate,polyglyceryl-3 stearate,21
trideceth-6 phosphate,trideceth-6 phosphate,21
sodium polyacrylate starch,sodium polyacrylate starch,21
ammonium glycyrrhizate,ammonium glycyrrhizate,21
lysolecithin,lysolecithin,21
azelaic acid,azelaic acid,21
portulaca oleracea extract,portulaca oleracea extract,21
copolymer,copolymer,21
isoceteth-10,isoceteth-10,21
ci 77491/iron oxides,iron oxides (ci 77491),21
alanyl glutamine,alanyl glutamine,21
sphingolipids,sphingolipids,21
candelilla cera (euphorbia cerifera (candelilla) wax),candelilla cera (euphorbia cerifera (candelilla) wax),21
sodium tocopheryl phosphate,sodium tocopheryl phosphate,21
chondrus crispus (carrageenan),chondrus crispus (carrageenan),21
disodium lauryl sulfosuccinate,disodium lauryl sulfosuccinate,20
sodium cocoamphoacetate,sodium cocoamphoacetate,20
daucus carota sativa (carrot) extract,daucus carota sativa (carrot) extract,20
red 28 (ci 45410),ci 45410 (red 28),20
microcrystalline wax/cera microcristallina/cire microcrystalline,microcrystalline wax/cera microcristallina/cire microcrystalline,20
citrus aurantifolia (lime) fruit extract,citrus aurantifolia (lime) fruit extract,20
piper nigrum (black pepper) seed extract,piper nigrum (black pepper) seed extract,20
polyglyceryl-2 isostearate/dimer dilinoleate copolymer,polyglyceryl-2 isostearate/dimer dilinoleate copolymer,20
tetrahydroxypropyl ethylenediamine,tetrahydroxypropyl ethylenediamine,20
sea whip extract,sea whip extract,20
ficus carica (fig) fruit extract,ficus carica (fig) fruit extract,20
cyclomethicone,cyclomethicone,20
lithothamnion calcareum extract,lithothamnion calcareum extract,20
red 28,ci 45410 (red 28),20
red 22,red 22,20
iron oxides/ci 77499,iron oxides (ci 77499),20
ci 77510 (ferric ammonium ferrocyanide),ferric ferrocyanide (ci 77510),20
vaccinium myrtillus fruit/leaf extract,vaccinium myrtillus fruit/leaf extract,20
canola oil,canola oil,20
ceratonia siliqua (carob) gum,ceratonia siliqua (carob) gum,20
kaempferia galanga root extract,kaempferia galanga root extract,20
trideceth-5,trideceth-5,20
citrus unshiu peel extract,citrus unshiu peel extract,20
iron oxides/ci 77491,iron oxides (ci 77491),20
iron oxides/ci 77492,iron oxides (ci 77492),20
palmitoyl grapevine shoot extract,palmitoyl grapevine shoot extract,20
glyceryl linolenate,glyceryl linolenate,20
cocos nucifera oil / coconut oil,cocos nucifera oil,20
trimethylolpropane triethylhexanoate,trimethylolpropane triethylhexanoate,20
sorbeth-230 tetraoleate,sorbeth-230 tetraoleate,20
polygonatum odoratum rhizome extract,polygonatum odoratum rhizome extract,20
cucumis melo (melon) fruit extract,cucumis melo (melon) fruit extract,20
withania somnifera root extract,withania somnifera root extract,20
lauryl lactate,lauryl lactate,20
panthenol (vitamin b5),panthenol,20
green 5 (ci 61570),green 5 (ci 61570),20
c20-24 olefin,c20-24 olefin,20
plukenetia volubilis seed oil,plukenetia volubilis seed oil,20
sodium,sodium,20
silicone quaternium-3,silicone quaternium-3,20
avena sativa (oat) bran extract,avena sativa (oat) bran extract,20
hydrolyzed lupine protein,hydrolyzed lupine protein,20
cera alba/beeswax,cera alba/beeswax,20
elaeis guineensis (palm) oil,elaeis guineensis (palm) oil,20
vaccinium myrtillus seed oil,vaccinium myrtillus seed oil,20
emblica officinalis fruit extract,emblica officinalis fruit extract,20
dilauryl thiodipropionate,dilauryl thiodipropionate,20
citrus aurantium bergamia (bergamot) peel oil,citrus aurantium bergamia (bergamot) peel oil,20
alcohol denat. (sd alcohol 39c),alcohol denat,20
melissa officinalis leaf extract,melissa officinalis leaf extract,20
extract,extract,20
trimethylsiloxyphenyl dimethicone,dimethicone,20
olea europaea (olive) fruit extract,olea europaea (olive) fruit extract,20
bambusa arundinacea stem extract,bambusa arundinacea stem extract,20
hydrolyzed yeast protein,hydrolyzed yeast protein,20
dimethylimidazolidinone rice starch,dimethylimidazolidinone rice starch,20
hydrolyzed wheat starch,hydrolyzed wheat starch,20
sd alcohol 40-b,alcohol denat,20
rosa canina fruit oil*,rosa canina fruit oil,20
phenylpropyldimethylsiloxysilicate,phenylpropyldimethylsiloxysilicate,20
quaternium-90 bentonite,quaternium-90 bentonite,20
rhus succedanea fruit wax,rhus succedanea fruit wax,20
peg/ppg/polybutylene glycol-8/5/3 glycerin,glycerin,20
lauryl dimethicone,dimethicone,20
diazolidinyl urea,diazolidinyl urea,20
glyceryl triacetyl ricinoleate,glyceryl triacetyl ricinoleate,20
propylene glycol dibenzoate,propylene glycol,19
paeonia suffruticosa root extract,paeonia suffruticosa root extract,19
ci 73360 (red 30 lake),ci 73360 (red 30 lake),19
ci 15850 (red 7),ci 15850 (red 7),19
tamarindus indica seed polysaccharide,tamarindus indica seed polysaccharide,19
chamomilla recutita (matricaria) flower extract (chamomile),chamomilla recutita (matricaria) flower extract (chamomile),19
fucus vesiculosus (bladderwrack) (seaweed) extract,fucus vesiculosus (bladderwrack) (seaweed) extract,19
rosa canina fruit (rose hip) extract,rosa canina fruit oil,19
sambucus nigra (elder) flower extract,sambucus nigra (elder) flower extract,19
selaginella lepidophylla (resurrection flower) extract,selaginella lepidophylla (resurrection flower) extract,19
narcissus tazetta bulb extract,narcissus tazetta bulb extract,19
alpha-isomethyl-ionone,alpha-isomethyl-ionone,19
thymus serpyllum extract,thymus serpyllum extract,19
royal jelly extract,royal jelly extract,19
polypropylsilsesquioxane,polypropylsilsesquioxane,19
8-octahydro-2,8-octahydro-2,19
glycine soja oil / soybean oil,glycine soja oil / soybean oil,19
c13-16 isoparaffin,c13-16 isoparaffin,19
calendula officinalis flower,calendula officinalis flower,19
naphtho2,naphtho2,19
1-bfuran,1-bfuran,19
perilla ocymoides leaf extract,perilla ocymoides leaf extract,19
dodecahydro-3a,dodecahydro-3a,19
oryza sativa (rice) extract/oryza sativa extract,oryza sativa (rice) extract/oryza sativa extract,19
glycerin**,glycerin,19
polyquaternium-55,polyquaternium-55,19
plumeria rubra flower extract,plumeria rubra flower extract,19
vitis vinifera (grape) juice extract,vitis vinifera (grape) juice extract,19
vitis vinifera (grape) juice,vitis vinifera (grape) juice,19
dunaliella salina extract,dunaliella salina extract,19
calendula officinalis (calendula) flower extract,calendula officinalis (calendula) flower extract,19
hectorite,hectorite,19
dilinoleic acid/propanediol copolymer,propanediol,19
polyglyceryl-3 disiloxane dimethicone,dimethicone,19
ci 77492 / iron oxides,iron oxides (ci 77492),19
ci 42090 / blue 1,ci 42090 (blue 1),19
sodium chondroitin sulfate,sodium chondroitin sulfate,19
sisymbrium irio seed oil,sisymbrium irio seed oil,19
maltodextrin/vp copolymer,maltodextrin/vp copolymer,19
peg-20 glyceryl triisostearate,peg-20 glyceryl triisostearate,19
whey protein/lactis protein/proteine du petit-lait,whey protein/lactis protein/proteine du petit-lait,19
ferric ferrocyanide/ferric ammonium ferrocyanide (ci 77510),ferric ferrocyanide (ci 77510),19
cetrimonium methosulfate,cetrimonium methosulfate,19
santalum album (sandalwood) oil,santalum album (sandalwood) oil,19
argania spinosa (argan) kernel oil*,argania spinosa kernel oil,19
oleic/linoleic/linolenic polyglycerides,oleic/linoleic/linolenic polyglycerides,19
thermus thermophillus ferment,thermus thermophillus ferment,19
ethyl ferulate,ethyl ferulate,19
methyl dihydroabietate,methyl dihydroabietate,19
ci 42090 (blue 1,ci 42090 (blue 1),19
tasmannia lanceolata fruit/leaf extract,tasmannia lanceolata fruit/leaf extract,18
boerhavia diffusa root extract,boerhavia diffusa root extract,18
persea gratissima (avocado) fruit extract,persea gratissima oil,18
rosa multiflora fruit extract,rosa multiflora fruit extract,18
isostearyl hydroxystearate,isostearyl hydroxystearate,18
behenyl behenate,behenyl behenate,18
sodium hydroxypropylsulfonate laurylglucoside crosspolymer,sodium hydroxypropylsulfonate laurylglucoside crosspolymer,18
evodia rutaecarpa fruit extract,evodia rutaecarpa fruit extract,18
hydrogenated coconut acid,hydrogenated coconut acid,18
cucurbita pepo (pumpkin) seed extract,cucurbita pepo (pumpkin) seed extract,18
stearyl glycyrrhetinate,stearyl glycyrrhetinate,18
dilinoleic acid/butanediol copolymer,dilinoleic acid/butanediol copolymer,18
polyurethane-11,polyurethane-11,18
maltose,maltose,18
2-o-ethyl ascorbic acid,ascorbic acid,18
oligopeptide-2,oligopeptide-2,18
citrus grandis (grapefruit) peel oil*,citrus grandis (grapefruit) peel oil,18
ci 15850 (red 6 lake),ci 15850 (red 7),18
lactose,lactose,18
dimethicone peg-7 phosphate,dimethicone,18
passiflora edulis,passiflora edulis,18
linoleamidopropyl dimethylamine dimer dilinoleate,linoleamidopropyl dimethylamine dimer dilinoleate,18
vegetable amino acids,vegetable amino acids,18
chondrus crispus,chondrus crispus,18
tetrahexyldecyl ascorbate (vitamin c),ascorbic acid,18
octocrylene 10%,octocrylene,18
pumice,pumice,18
oxacyclohexadec-12-en-2-one,oxacyclohexadec-12-en-2-one,18
sargassum pacificum thallus extract,sargassum pacificum thallus extract,18
polyester-8,polyester-8,18
hibiscus rosa-sinensis flower extract,hibiscus rosa-sinensis flower extract,18
pentaerythrityl distearate,pentaerythrityl distearate,18
prunus domestica seed oil,prunus domestica seed oil,18
camellia sinensis (white tea) extract,camellia sinensis leaf extract,18
gaultheria procumbens (wintergreen) oil,gaultheria procumbens (wintergreen) oil,18
silk amino acids,silk amino acids,18
glyceryl glucoside,glyceryl glucoside,18
sodium salicylate,sodium salicylate,18
polyglycerin-6,polyglycerin-6,18
isomalt,isomalt,18
hamamelis virginiana (witch hazel) leaf extract,hamamelis virginiana (witch hazel) leaf extract,18
tripeptide-1,tripeptide-1,18
microcrystalline wax/cera microcristallina,microcrystalline wax/cera microcristallina,18
red 21 lake (ci 45380),red 21 lake (ci 45380),18
ultramarines ci 77007,ultramarines (ci 77007),18
avena sativa (oat) kernel oil,avena sativa (oat) kernel oil,18
beheneth-20,beheneth-20,18
polyimide-1,polyimide-1,18
polyglyceryl-10 oleate,polyglyceryl-10 oleate,18
brassica campestris (rapeseed) sterols,brassica campestris (rapeseed) sterols,18
inulin lauryl carbamate,inulin lauryl carbamate,18
amp-isostearoyl hydrolyzed wheat protein,amp-isostearoyl hydrolyzed wheat protein,18
pectin,pectin,18
cetyl phosphate,cetyl phosphate,18
dimethicone crosspolymer-3,dimethicone,18
cyperus esculentus root oil,cyperus esculentus root oil,18
orange 5 (ci 45370),orange 5 (ci 45370),18
sodium polyglutamate,sodium polyglutamate,18
amber powder,amber powder,18
c12-20 acid peg-8 ester,c12-20 acid peg-8 ester,18
titanium dioxide (ci77891),titanium dioxide (ci 77891),18
butyrospermum parkii (shea) butter extract,shea butter,17
vp/methacrylamide/vinyl imidazole copolymer,vp/methacrylamide/vinyl imidazole copolymer,17
ethylhexyl methoxycrylene,ethylhexyl methoxycrylene,17
peg-75,peg-75,17
sodium rna,sodium rna,17
c20-40 alcohols,c20-40 alcohols,17
stearyl heptanoate,stearyl heptanoate,17
mel (honey),mel (honey),17
sea water,water,17
citrus aurantium amara (bitter orange) flower oil,citrus aurantium amara (bitter orange) flower oil,17
ginkgo biloba extract,ginkgo biloba extract,17
iso e super,iso e super,17
distilled water,water,17
sea salt\\maris sal\\sel marin,sea salt/maris sal/sel marin,17
acrylates crosspolymer-4,acrylates crosspolymer-4,17
ximenia americana seed oil,ximenia americana seed oil,17
psidium guajava (guava) fruit extract,psidium guajava (guava) fruit extract,17
olivine extract,olivine extract,17
flavor/aroma,flavor/aroma,17
hordeum vulgare leaf juice*,hordeum vulgare leaf juice,17
illite,illite,17
6-nonadien-3-ol,6-nonadien-3-ol,17
methoxycinnamate,methoxycinnamate,17
butyrospermum parkii butter/shea butter,shea butter,17
methoxyphenyl t-butylphenyl propanediol,propanediol,17
isopropanolamine,isopropanolamine,17
